memory file = ../riscvn.mem
program counter = 0000000c(12)
stack address = 4096
debugtype = 3
ram[00000000]  = 00000417(32) ; 00000000 -> 00000417 
[BRANCH] 0063e463 : rs1 7(fffffffe), rs2 6(ffffffff), funct3 6, brimm 8
: pc -> 00000178(376) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> ffffffff : t2 -> fffffffe : 
: s0 -> 00000168 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000178] -> ffe00313
[INST] inst fetched from 00000178 -> ffe00313
[REGIMM] ffe00313 : rd 6, rs1 0(00000000), funct3 0, funct7 7f, imm ffe
: pc -> 0000017c(380) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> fffffffe : 
: s0 -> 00000168 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[0000017c] -> 00100393
[INST] inst fetched from 0000017c -> 00100393
[REGIMM] 00100393 : rd 7, rs1 0(00000000), funct3 0, funct7 0, imm 1
: pc -> 00000180(384) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 00000168 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000180] -> 00000417
[INST] inst fetched from 00000180 -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 00000184(388) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 00000180 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000184] -> 00732e33
[INST] inst fetched from 00000184 -> 00732e33
[REGREG] 00732e33 : rd 28, rs1 6(fffffffe), rs2 7(00000001), funct3 2, funct7 0
: pc -> 00000188(392) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 00000180 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000188] -> 500e0663
[INST] inst fetched from 00000188 -> 500e0663
[BRANCH] 500e0663 : rs1 28(00000001), rs2 0(00000000), funct3 0, brimm 50c
: pc -> 0000018c(396) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 00000180 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[0000018c] -> 00000417
[INST] inst fetched from 0000018c -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 00000190(400) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 0000018c : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000190] -> 0063ae33
[INST] inst fetched from 00000190 -> 0063ae33
[REGREG] 0063ae33 : rd 28, rs1 7(00000001), rs2 6(fffffffe), funct3 2, funct7 0
: pc -> 00000194(404) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 0000018c : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000194] -> 500e1063
[INST] inst fetched from 00000194 -> 500e1063
[BRANCH] 500e1063 : rs1 28(00000000), rs2 0(00000000), funct3 1, brimm 500
: pc -> 00000198(408) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 0000018c : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[00000198] -> 00000417
[INST] inst fetched from 00000198 -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 0000019c(412) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 00000198 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[0000019c] -> 0063be33
[INST] inst fetched from 0000019c -> 0063be33
[REGREG] 0063be33 : rd 28, rs1 7(00000001), rs2 6(fffffffe), funct3 3, funct7 0
: pc -> 000001a0(416) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 00000198 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001a0] -> 4e0e0a63
[INST] inst fetched from 000001a0 -> 4e0e0a63
[BRANCH] 4e0e0a63 : rs1 28(00000001), rs2 0(00000000), funct3 0, brimm 4f4
: pc -> 000001a4(420) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 00000198 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001a4] -> 00000417
[INST] inst fetched from 000001a4 -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 000001a8(424) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001a4 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001a8] -> fff32e13
[INST] inst fetched from 000001a8 -> fff32e13
[REGIMM] fff32e13 : rd 28, rs1 6(fffffffe), funct3 2, funct7 7f, imm fff
: pc -> 000001ac(428) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001a4 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001ac] -> 4e0e0463
[INST] inst fetched from 000001ac -> 4e0e0463
[BRANCH] 4e0e0463 : rs1 28(00000001), rs2 0(00000000), funct3 0, brimm 4e8
: pc -> 000001b0(432) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001a4 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001b0] -> 00000417
[INST] inst fetched from 000001b0 -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 000001b4(436) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001b0 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001b4] -> ffd32e13
[INST] inst fetched from 000001b4 -> ffd32e13
[REGIMM] ffd32e13 : rd 28, rs1 6(fffffffe), funct3 2, funct7 7f, imm ffd
: pc -> 000001b8(440) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001b0 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001b8] -> 4c0e1e63
[INST] inst fetched from 000001b8 -> 4c0e1e63
[BRANCH] 4c0e1e63 : rs1 28(00000000), rs2 0(00000000), funct3 1, brimm 4dc
: pc -> 000001bc(444) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001b0 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001bc] -> 00000417
[INST] inst fetched from 000001bc -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 000001c0(448) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001bc : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001c0] -> 00132e13
[INST] inst fetched from 000001c0 -> 00132e13
[REGIMM] 00132e13 : rd 28, rs1 6(fffffffe), funct3 2, funct7 0, imm 1
: pc -> 000001c4(452) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001bc : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001c4] -> 4c0e0863
[INST] inst fetched from 000001c4 -> 4c0e0863
[BRANCH] 4c0e0863 : rs1 28(00000001), rs2 0(00000000), funct3 0, brimm 4d0
: pc -> 000001c8(456) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001bc : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001c8] -> 00000417
[INST] inst fetched from 000001c8 -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 000001cc(460) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001c8 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001cc] -> 0023ae13
[INST] inst fetched from 000001cc -> 0023ae13
[REGIMM] 0023ae13 : rd 28, rs1 7(00000001), funct3 2, funct7 0, imm 2
: pc -> 000001d0(464) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001c8 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001d0] -> 4c0e0263
[INST] inst fetched from 000001d0 -> 4c0e0263
[BRANCH] 4c0e0263 : rs1 28(00000001), rs2 0(00000000), funct3 0, brimm 4c4
: pc -> 000001d4(468) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001c8 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001d4] -> 00000417
[INST] inst fetched from 000001d4 -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 000001d8(472) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001d4 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000001 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001d8] -> fff3ae13
[INST] inst fetched from 000001d8 -> fff3ae13
[REGIMM] fff3ae13 : rd 28, rs1 7(00000001), funct3 2, funct7 7f, imm fff
: pc -> 000001dc(476) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001d4 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001dc] -> 4a0e1c63
[INST] inst fetched from 000001dc -> 4a0e1c63
[BRANCH] 4a0e1c63 : rs1 28(00000000), rs2 0(00000000), funct3 1, brimm 4b8
: pc -> 000001e0(480) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001d4 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001e0] -> 00000417
[INST] inst fetched from 000001e0 -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 000001e4(484) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001e0 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001e4] -> 00133e13
[INST] inst fetched from 000001e4 -> 00133e13
[REGIMM] 00133e13 : rd 28, rs1 6(fffffffe), funct3 3, funct7 0, imm 1
: pc -> 000001e8(488) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001e0 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001e8] -> 4a0e1663
[INST] inst fetched from 000001e8 -> 4a0e1663
[BRANCH] 4a0e1663 : rs1 28(00000000), rs2 0(00000000), funct3 1, brimm 4ac
: pc -> 000001ec(492) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001e0 : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
: a6 -> 00000000 : a7 -> 00000000 : s2 -> 00000000 : s3 -> 00000000 : s4 -> 00000000 : s5 -> 00000000 : s6 -> 00000000 : s7 -> 00000000 : 
: s8 -> 00000000 : s9 -> 00000000 : sa -> 00000000 : sb -> 00000000 : t3 -> 00000000 : t4 -> 00000000 : t5 -> 00000000 : t6 -> 00000000 : 
ram[000001ec] -> 00000417
[INST] inst fetched from 000001ec -> 00000417
[AUIPC] 00000417 : rd 8, upperimm 0
: pc -> 000001f0(496) :
: ze -> 00000000 : ra -> 00000000 : sp -> 00001000 : gp -> 00000000 : tp -> 00000000 : t0 -> 00000000 : t1 -> fffffffe : t2 -> 00000001 : 
: s0 -> 000001ec : s1 -> 00000000 : a0 -> 00000000 : a1 -> 00000000 : a2 -> 00000000 : a3 -> 00000000 : a4 -> 00000000 : a5 -> 00000000 : 
